global_number,lesson_id,legacy_id,track,module,title,scene_file,scene_class,delivery_name,status
31,du_cercle_unite_a_la_fonction_sinus,P24,programme,07 - Trigonométrie,Du cercle unité à la fonction sinus,scenes/trigonometrie_fr/31_du_cercle_au_sinus_fr/31_du_cercle_au_sinus_fr_scene.py,SineCurveUnitCircle,31_du_cercle_unite_a_la_fonction_sinus,existing_review_required
32,trigonometrie_triangle,S08,programme,07 - Trigonométrie,Trigonométrie du triangle,scenes/trigonometrie_fr/32_trigonometrie_triangle_fr/32_trigonometrie_triangle_fr_scene.py,TrigonometrieTriangleFR,32_trigonometrie_triangle,authored
33,lois_sinus_cosinus,S09,programme,07 - Trigonométrie,Lois des sinus et des cosinus,scenes/trigonometrie_fr/33_lois_sinus_cosinus_fr/33_lois_sinus_cosinus_fr_scene.py,LoisSinusCosinusFR,33_lois_sinus_cosinus,authored
34,fonctions_trigonometriques_inverses,S10,programme,07 - Trigonométrie,Fonctions trigonométriques inverses,scenes/trigonometrie_fr/34_fonctions_trigonometriques_inverses_fr/34_fonctions_trigonometriques_inverses_fr_scene.py,FonctionsTrigonometriquesInversesFR,34_fonctions_trigonometriques_inverses,authored
35,aire_du_cercle,P25,programme,08 - Géométrie,Aire du cercle,scenes/geometrie_fr/35_aire_du_cercle_fr/35_aire_du_cercle_fr_scene.py,CircleAreaFR,35_aire_du_cercle,existing_review_required
36,pythagore_par_les_aires,P26,programme,08 - Géométrie,Pythagore par les aires,scenes/geometrie_fr/36_pythagore_par_les_aires_fr/36_pythagore_par_les_aires_fr_scene.py,PythagoreAireFR,36_pythagore_par_les_aires,existing_review_required
37,notation_sigma,P27,programme,09 - Notations,Notation sigma,scenes/notations_fr/37_notation_sigma_fr/37_notation_sigma_fr_scene.py,SigmaSommeBoucleFR,37_notation_sigma,existing_review_required
38,implication_et_equivalence,E01,errors,Erreurs fréquentes,Implication et équivalence,scenes/erreurs_frequentes_fr/38_implication_et_equivalence_fr/38_implication_et_equivalence_fr_scene.py,ImplicationEtEquivalenceFR,38_implication_et_equivalence,existing_review_required
39,racine_d_un_produit,E02,errors,Erreurs fréquentes,Racine d'un produit,scenes/erreurs_frequentes_fr/39_racine_d_un_produit_fr/39_racine_d_un_produit_fr_scene.py,RacineProduitHypothesesFR,39_racine_d_un_produit,existing_review_required
40,egalite_de_fonctions,E03,errors,Erreurs fréquentes,Égalité de fonctions,scenes/erreurs_frequentes_fr/40_egalite_de_fonctions_fr/40_egalite_de_fonctions_fr_scene.py,EgaliteDeFonctionsFR,40_egalite_de_fonctions,existing_review_required
41,solutions_parasites,E04,errors,Erreurs fréquentes,Solutions parasites,scenes/erreurs_frequentes_fr/41_solutions_parasites_fr/41_solutions_parasites_fr_scene.py,CarreEtSolutionsParasitesFR,41_solutions_parasites,existing_review_required
42,ordre_de_composition,E05,errors,Erreurs fréquentes,Ordre de composition,scenes/erreurs_frequentes_fr/42_ordre_de_composition_fr/42_ordre_de_composition_fr_scene.py,CompositionNonCommutativeFR,42_ordre_de_composition,existing_review_required
43,annulation_dans_les_fractions,E06,errors,Erreurs fréquentes,Annulation dans les fractions,scenes/erreurs_frequentes_fr/43_annulation_dans_les_fractions_fr/43_annulation_dans_les_fractions_fr_scene.py,AnnulationFractionsFR,43_annulation_dans_les_fractions,existing_review_required
